# Список файлов для скачивания
# Формат: Название файла | ID файла

Презентация ФОЭ|19QOCPFsZgNtxRxESmtKgsi3gOKmPWNUv
Презентация ТОЭ|1p91Yi0Dh8_19QIuwfs6niz9qV1Vs7gNs
Презентация Силовая электроника|18a_sA3qhksjKvZ1BlItlqdQjnAHF3K5J
Презентация Электроснабжение и электробезопасность|1nLP1v3VCzaWj3NEEhhVY3MyzIcsevnoO
Программирование в MATLAB|1LZpvWKo4CeZpdy4S_zUjeP8JHAzc6FmD
Методические указания к курсовой работе|14enFT_KXbB0olde8tMkWubr-aH9pvQln
Презентация лекций по ФОЭ|19QOCPFsZgNtxRxESmtKgsi3gOKmPWNUv
Таблицы и справочные данные|1p91Yi0Dh8_19QIuwfs6niz9qV1Vs7gNs
Архив с примерами программ|18a_sA3qhksjKvZ1BlItlqdQjnAHF3K5J
